,0
0,0.00029999999999996696
1,-0.006700000000000039
2,0.0012999999999999678
3,-0.0047000000000000375
4,-0.0027000000000000357
5,0.00029999999999996696
6,-0.0007000000000000339
7,-0.0017000000000000348
8,0.0042999999999999705
9,0.0022999999999999687
10,0.0032999999999999696
11,0.0042999999999999705
12,0.009299999999999975
13,0.012299999999999978
14,0.017299999999999982
15,0.021299999999999986
16,0.028299999999999992
17,0.0343
18,0.04329999999999995
19,0.05629999999999996
20,0.07229999999999998
21,0.0923
22,0.11829999999999996
23,0.14429999999999998
24,0.16929999999999998
25,0.20229999999999998
26,0.2423
27,0.2723
28,0.2993
29,0.3233
30,0.3463
31,0.36229999999999996
32,0.36229999999999996
33,0.35729999999999995
34,0.35329999999999995
35,0.35329999999999995
36,0.35529999999999995
37,0.3473
38,0.3333
39,0.31529999999999997
40,0.2903
41,0.2663
42,0.2413
43,0.21729999999999997
44,0.20329999999999998
45,0.19029999999999997
46,0.16729999999999998
47,0.14129999999999998
48,0.11029999999999995
49,0.07929999999999998
50,0.05629999999999996
51,0.030299999999999994
52,0.009299999999999975
53,0.00029999999999996696
54,0.0022999999999999687
55,0.00029999999999996696
56,0.0012999999999999678
57,-0.0017000000000000348
58,-0.0047000000000000375
59,-0.0037000000000000366
60,-0.008700000000000041
61,-0.0017000000000000348
62,-0.0037000000000000366
63,-0.0007000000000000339
64,-0.0037000000000000366
65,-0.006700000000000039
66,-0.0007000000000000339
67,-0.0047000000000000375
68,-0.006700000000000039
69,-0.0027000000000000357
70,-0.0027000000000000357
71,-0.006700000000000039
72,-0.0047000000000000375
73,-0.0037000000000000366
74,-0.005700000000000038
75,-0.0027000000000000357
76,-0.0027000000000000357
77,-0.0007000000000000339
78,-0.0037000000000000366
79,-0.0047000000000000375
80,-0.0017000000000000348
81,-0.0037000000000000366
82,-0.0027000000000000357
83,-0.0007000000000000339
84,-0.0007000000000000339
85,-0.005700000000000038
86,-0.0047000000000000375
87,-0.005700000000000038
88,-0.005700000000000038
89,-0.0047000000000000375
90,-0.006700000000000039
91,-0.00770000000000004
92,-0.0037000000000000366
93,-0.0047000000000000375
94,0.00029999999999996696
95,-0.0027000000000000357
96,-0.0027000000000000357
97,-0.00770000000000004
98,0.0012999999999999678
99,-0.0047000000000000375
100,0.00029999999999996696
101,-0.005700000000000038
102,-0.0037000000000000366
103,-0.00770000000000004
104,-0.0047000000000000375
105,-0.00770000000000004
106,-0.0047000000000000375
107,-0.010700000000000043
108,-0.006700000000000039
109,-0.008700000000000041
110,-0.005700000000000038
111,-0.011700000000000044
112,-0.006700000000000039
113,-0.011700000000000044
114,-0.005700000000000038
115,-0.00770000000000004
116,-0.0027000000000000357
117,-0.009700000000000042
118,-0.005700000000000038
119,-0.0027000000000000357
120,-0.005700000000000038
121,-0.005700000000000038
122,-0.009700000000000042
123,-0.0037000000000000366
124,-0.008700000000000041
125,-0.0027000000000000357
126,-0.011700000000000044
127,-0.006700000000000039
128,-0.009700000000000042
129,-0.0047000000000000375
130,-0.010700000000000043
131,-0.0037000000000000366
132,-0.009700000000000042
133,-0.006700000000000039
134,-0.008700000000000041
135,-0.0017000000000000348
136,-0.006700000000000039
137,-0.0037000000000000366
138,-0.008700000000000041
139,0.00029999999999996696
140,-0.006700000000000039
141,-0.0007000000000000339
142,-0.0047000000000000375
143,0.0012999999999999678
144,-0.0017000000000000348
145,0.0022999999999999687
146,-0.0027000000000000357
147,0.0022999999999999687
148,0.0042999999999999705
149,0.007299999999999973
150,0.007299999999999973
151,0.00029999999999996696
152,0.0042999999999999705
153,0.0012999999999999678
154,0.010299999999999976
155,0.010299999999999976
156,0.01429999999999998
157,0.017299999999999982
158,0.021299999999999986
159,0.02729999999999999
160,0.031299999999999994
161,0.0373
162,0.07229999999999998
163,0.16629999999999998
