duty_cycle,air_vel_avg(m/s)
39.22,2.1713861386138613
39.61,2.2089108910891087
40.0,2.2371287128712876
40.39,2.2518811881188117
40.78,2.2642574257425743
41.18,2.2957425742574253
41.57,2.2960396039603963
41.96,2.3144554455445543
42.35,2.3153465346534654
42.75,2.3262376237623763
43.14,2.3434653465346535
43.53,2.3403960396039607
43.92,2.3370297029702973
44.31,2.378217821782178
44.71,2.3949504950495046
45.1,2.402376237623762
45.49,2.416138613861386
45.88,2.4247524752475247
46.27,2.43
46.67,2.4349504950495047
47.06,2.448316831683168
47.45,2.454653465346535
47.84,2.46019801980198
48.24,2.4626732673267324
48.63,2.4592079207920787
49.02,2.458613861386139
49.41,2.486435643564356
49.8,2.5114851485148515
50.2,2.5223762376237624
50.59,2.528118811881188
50.98,2.5316831683168317
51.37,2.5466336633663365
51.76,2.5472277227722775
52.16,2.5522772277227728
52.55,2.56039603960396
52.94,2.5658415841584157
53.33,2.571188118811881
53.73,2.590990099009901
54.12,2.5951485148514855
54.51,2.589306930693069
54.9,2.5866336633663365
55.29,2.592277227722773
55.69,2.5897029702970293
56.08,2.5849504950495055
56.47,2.6011881188118813
56.86,2.6284158415841574
57.25,2.6374257425742567
57.65,2.6410891089108905
58.04,2.650594059405941
58.43,2.6570297029702976
58.82,2.662574257425743
59.22,2.6694059405940593
59.61,2.6733663366336637
60.0,2.6811881188118813
60.39,2.6824752475247524
60.78,2.698217821782178
61.18,2.715544554455446
61.57,2.732277227722774
61.96,2.736831683168317
62.35,2.733366336633664
62.75,2.7322772277227725
63.14,2.733366336633664
63.53,2.731188118811882
63.92,2.731584158415842
64.31,2.727920792079208
64.71,2.7346534653465358
65.1,2.7299999999999995
65.49,2.735841584158417
65.88,2.7305940594059406
66.27,2.7379207920792084
66.67,2.734752475247525
67.06,2.774158415841583
67.45,2.7858415841584163
67.84,2.791188118811882
68.24,2.7896039603960383
68.63,2.7936633663366335
69.02,2.8064356435643565
69.41,2.804752475247525
69.8,2.809108910891089
70.2,2.8066336633663362
70.59,2.8118811881188117
70.98,2.8128712871287127
71.37,2.8154455445544557
71.76,2.82009900990099
72.16,2.820891089108911
72.55,2.8184158415841574
72.94,2.8179207920792075
73.33,2.82069306930693
73.73,2.822574257425742
74.12,2.831683168316831
74.51,2.8260396039603957
74.9,2.826831683168316
75.29,2.8213861386138612
75.69,2.8175247524752463
76.08,2.8236633663366333
76.47,2.8248514851485136
76.86,2.826732673267326
77.25,2.8237623762376227
77.65,2.8238613861386135
78.04,2.8262376237623763
78.43,2.8258415841584155
78.82,2.821485148514851
79.22,2.8318811881188113
79.61,2.8330693069306925
80.0,2.832079207920791
80.39,2.8502970297029706
80.78,2.8558415841584157
81.18,2.8539603960396045
81.57,2.8657425742574256
81.96,2.8649504950495053
82.35,2.872970297029703
82.75,2.871485148514852
83.14,2.8690099009900987
83.53,2.87
83.92,2.8731683168316824
84.31,3.0878217821782186
84.71,3.182277227722773
85.1,3.1803960396039614
85.49,3.206435643564357
85.88,3.2009900990099016
86.27,3.210891089108911
86.67,3.2225742574257428
87.06,3.220990099009902
87.45,3.241683168316832
87.84,3.2470297029702975
88.24,3.251683168316832
88.63,3.2670297029702966
89.02,3.285049504950495
89.41,3.2897029702970295
89.8,3.280990099009901
90.2,3.2843564356435646
90.59,3.2885148514851483
90.98,3.3318811881188126
91.37,3.34970297029703
91.76,3.3703960396039605
92.16,3.3878217821782175
92.55,3.388712871287128
92.94,3.4044554455445546
93.33,3.4048514851485154
93.73,3.415247524752475
94.12,3.4173267326732684
94.51,3.4209900990099014
94.9,3.4302970297029702
95.29,3.4556435643564356
95.69,3.4632673267326735
96.08,3.4514851485148523
96.47,3.4603960396039604
96.86,3.4669306930693065
97.25,3.4728712871287133
97.65,3.4810891089108913
98.04,3.4809900990099014
98.43,3.474059405940594
98.82,3.49019801980198
99.22,3.497777777777778
